Tahun,KasusDBD,Tavg,RHavg,ss,nordbd,norsuhu,norkelembapan,norss
2012-01,436.00,23.06,77.55,2.80,0.48578811369509,0.412,0.704811423720592,0.2
2012-02,493.00,23.50,78.69,6.33,0.559431524547804,0.5,0.758442442312678,0.592592592592593
2012-03,519.00,23.50,74.48,5.33,0.593023255813954,0.5,0.56080220713073,0.481481481481481
2012-04,482.00,24.00,81.00,3.00,0.545219638242894,0.6,0.867011278195489,0.222222222222222
2012-05,573.00,23.60,77.23,6.75,0.662790697674419,0.52,0.689652558816396,0.638888888888889
2012-06,537.00,23.50,74.50,6.57,0.616279069767442,0.5,0.56156015037594,0.619047619047619
2012-07,454.00,22.40,71.16,6.80,0.509043927648579,0.28,0.404665898617511,0.644444444444444
2012-08,342.00,24.00,66.58,7.57,0.364341085271318,0.6,0.189410016977929,0.73015873015873
2012-09,266.00,23.50,66.70,6.40,0.266149870801034,0.5,0.195018796992481,0.6
2012-10,261.00,25.00,74.25,6.75,0.25968992248062,0.8,0.549812030075188,0.638888888888889
2012-11,321.00,22.50,82.90,3.33,0.337209302325581,0.3,0.956296992481203,0.259259259259259
2012-12,412.00,24.00,83.48,5.00,0.454780361757106,0.6,0.983734537957798,0.444444444444444
2013-01,702.00,21.00,79.35,6.00,0.829457364341085,0,0.78970106718409,0.555555555555556
2013-02,574.00,23.00,79.89,5.00,0.664082687338501,0.4,0.814983888292159,0.444444444444444
2013-03,476.00,23.82,79.10,4.60,0.537467700258398,0.564,0.777573975260732,0.4
2013-04,601.00,23.00,82.30,3.20,0.698966408268734,0.4,0.928101503759399,0.244444444444444
2013-05,593.00,24.00,81.90,4.33,0.688630490956072,0.6,0.909456099927238,0.37037037037037
2013-06,560.00,24.00,78.03,4.71,0.645994832041344,0.6,0.727600250626566,0.412698412698413
2013-07,540.00,22.00,77.26,4.33,0.62015503875969,0.2,0.691168445306816,0.37037037037037
2013-08,405.00,22.60,70.53,7.86,0.445736434108527,0.32,0.37515664160401,0.761904761904762
2013-09,360.00,23.50,66.70,6.40,0.387596899224806,0.5,0.195018796992481,0.6
2013-10,320.00,24.00,68.25,6.00,0.335917312661499,0.6,0.267857142857143,0.555555555555556
2013-11,250.00,23.00,75.25,7.00,0.245478036175711,0.4,0.596804511278196,0.666666666666667
2013-12,355.00,24.67,77.88,1.80,0.381136950904393,0.733333333333334,0.72015977443609,0.0888888888888889
2014-01,394.00,22.67,80.07,2.36,0.431524547803618,0.333333333333334,0.823499721526038,0.151515151515152
2014-02,350.00,25.00,75.35,2.00,0.374677002583979,0.8,0.601401601830663,0.111111111111111
2014-03,392.00,25.00,78.71,2.67,0.428940568475452,0.8,0.759599892588614,0.185185185185185
2014-04,361.00,26.00,76.46,4.00,0.388888888888889,1,0.653587092731829,0.333333333333333
2014-05,352.00,24.75,78.52,4.75,0.377260981912145,0.75,0.75028801843318,0.416666666666667
2014-06,287.00,23.00,80.37,3.20,0.29328165374677,0.4,0.837249373433584,0.244444444444444
2014-07,221.00,23.20,78.61,5.25,0.208010335917313,0.44,0.754835677904438,0.472222222222222
2014-08,201.00,23.75,74.26,6.00,0.182170542635659,0.55,0.550191001697793,0.555555555555556
2014-09,205.00,23.50,65.33,10.00,0.18733850129199,0.5,0.130795739348371,1
2014-10,169.00,24.33,68.39,7.50,0.140826873385013,0.666666666666666,0.274299660441426,0.722222222222222
2014-11,129.00,24.00,80.72,4.00,0.0891472868217054,0.6,0.853853383458647,0.333333333333333
2014-12,71.00,23.50,80.28,1.00,0.0142118863049096,0.5,0.832982240082966,0
2015-01,356.00,23.14,79.54,1.00,0.382428940568475,0.428571428571429,0.798200859291085,0
2015-02,462.00,24.33,81.15,3.75,0.51937984496124,0.666666666666666,0.873973127262601,0.305555555555556
2015-03,439.00,24.00,79.93,5.00,0.489664082687338,0.6,0.816662191192266,0.444444444444444
2015-04,425.00,23.60,79.60,3.17,0.471576227390181,0.52,0.801221804511278,0.240740740740741
2015-05,544.00,23.33,77.75,3.00,0.625322997416021,0.466666666666666,0.714285714285714,0.222222222222222
2015-06,477.00,23.00,74.17,9.00,0.538759689922481,0.4,0.546166061705989,0.888888888888889
2015-07,375.00,23.00,70.67,7.67,0.406976744186047,0.4,0.381422305764411,0.740740740740741
2015-08,172.00,24.50,66.77,9.00,0.144702842377261,0.7,0.198505335920447,0.888888888888889
2015-09,101.00,24.00,64.25,6.00,0.0529715762273902,0.6,0.0798872180451129,0.555555555555556
2015-10,89.00,24.80,62.55,8.78,0.0374677002583979,0.76,-7.57943245209109E-05,0.864197530864197
2015-11,99.00,24.40,79.50,3.67,0.0503875968992248,0.68,0.796522556390978,0.296296296296296
2015-12,101.00,23.00,81.58,3.00,0.0529715762273902,0.4,0.894297235023041,0.222222222222222
2016-01,424.00,23.94,81.35,4.23,0.470284237726098,0.587741935483871,0.883686029590105,0.358620689655172
2016-02,499.00,24.13,80.72,3.66,0.5671834625323,0.626206896551723,0.854047835105004,0.295634920634921
2016-03,422.00,24.12,82.77,3.77,0.467700258397933,0.623870967741936,0.950385035168567,0.308243727598566
2016-04,380.00,24.03,83.83,4.34,0.41343669250646,0.606666666666667,1.00015664160401,0.371264367816092
2016-05,577.00,24.07,82.90,4.68,0.667958656330749,0.61483870967742,0.956448581130245,0.408518518518518
2016-06,481.00,23.67,79.10,4.86,0.543927648578811,0.533793103448276,0.777887606948405,0.429059829059829
2016-07,347.00,23.36,79.07,6.17,0.370801033591731,0.472000000000001,0.776267176562095,0.574329501915709
2016-08,210.00,23.60,75.45,6.19,0.193798449612403,0.519354838709678,0.606278801843318,0.577037037037037
2016-09,107.00,23.66,79.83,4.83,0.0607235142118863,0.531999999999999,0.81218671679198,0.425793650793651
2016-10,118.00,23.14,82.48,3.16,0.0749354005167959,0.427096774193547,0.93674205675479,0.240079365079365
2016-11,192.00,23.40,83.70,3.40,0.170542635658915,0.479333333333333,0.993890977443609,0.266296296296296
2016-12,123.00,24.41,73.03,3.91,0.0813953488372093,0.681290322580644,0.492587315061848,0.323754789272031
2017-01,257.00,24.25,74.39,4.98,0.254521963824289,0.64967741935484,0.556254547659471,0.442307692307692
2017-02,149.00,23.04,81.32,3.83,0.114987080103359,0.407142857142856,0.882116004296455,0.313888888888889
2017-03,146.00,23.40,80.32,4.34,0.111111111111111,0.479999999999999,0.835177661896677,0.371647509578544
2017-04,139.00,23.68,81.37,4.21,0.102067183462532,0.535333333333334,0.884241854636591,0.356378600823045
2017-05,149.00,23.98,77.47,5.70,0.114987080103359,0.596666666666665,0.700971177944862,0.522619047619048
2017-06,175.00,23.43,78.83,4.52,0.148578811369509,0.486666666666666,0.765194235588972,0.390740740740741
2017-07,130.00,23.35,81.00,7.00,0.0904392764857881,0.470322580645162,0.867011278195489,0.666666666666667
2017-08,91.00,23.33,71.06,7.09,0.0400516795865633,0.466451612903226,0.400118239146253,0.676495726495726
2017-09,96.00,24.00,71.10,6.07,0.0465116279069768,0.600666666666666,0.401785714285714,0.562962962962963
2017-10,115.00,23.66,80.10,4.65,0.0710594315245478,0.532,0.824718045112782,0.405555555555556
2017-11,147.00,23.22,81.87,3.29,0.112403100775194,0.444000000000001,0.907738095238095,0.254814814814815
2017-12,192.00,23.97,76.42,4.16,0.170542635658915,0.594193548387098,0.651755396555906,0.351481481481481
2018-01,250.00,23.31,77.61,2.87,0.245478036175711,0.461290322580646,0.707843196701431,0.20752688172043
2018-02,184.00,23.60,79.29,5.30,0.160206718346253,0.520000000000001,0.786452738990333,0.477380952380952
2018-03,263.00,23.55,80.03,4.58,0.262273901808785,0.509032258064516,0.821534683482901,0.397407407407407
2018-04,308.00,23.72,79.43,4.94,0.320413436692506,0.543333333333334,0.793389724310777,0.438148148148148
2018-05,416.00,23.82,75.93,6.49,0.459948320413437,0.564,0.628916040100251,0.61
2018-06,396.00,23.71,75.80,6.68,0.434108527131783,0.542666666666667,0.62265037593985,0.630740740740741
2018-07,269.00,22.85,67.19,8.30,0.270025839793282,0.370322580645161,0.218211860295901,0.810752688172043
2018-08,165.00,23.34,69.06,7.42,0.135658914728682,0.468387096774194,0.306133276740238,0.713620071684588
2018-09,131.00,23.79,66.53,6.38,0.0917312661498708,0.557333333333333,0.18718671679198,0.597318007662835
2018-10,120.00,24.21,70.94,5.73,0.0775193798449612,0.642580645161291,0.394054693184575,0.525806451612903
2018-11,131.00,23.69,81.50,3.92,0.0917312661498708,0.538,0.890507518796992,0.324074074074074
2018-12,193.00,23.87,80.42,3.56,0.171834625322997,0.574193548387097,0.839725321367936,0.28494623655914
2019-01,834.00,23.68,79.68,4.27,1,0.536129032258065,0.804859932088285,0.363440860215054
2019-02,616.00,23.84,80.96,4.96,0.718346253229974,0.56857142857143,0.865332975295381,0.440079365079365
2019-03,664.00,23.65,80.39,3.78,0.780361757105943,0.529677419354838,0.838209434877517,0.308960573476703
2019-04,548.00,23.96,82.73,5.13,0.630490956072351,0.592666666666667,0.948464912280702,0.459259259259259
2019-05,539.00,23.84,78.65,6.30,0.618863049095607,0.567096774193548,0.756351564394858,0.588530465949821
2019-06,389.00,23.32,72.20,7.23,0.425064599483204,0.463999999999999,0.453477443609023,0.692592592592593
2019-07,301.00,22.90,69.87,7.73,0.311369509043928,0.379354838709677,0.344030439000728,0.747311827956989
2019-08,131.00,23.04,66.03,7.73,0.0917312661498708,0.408387096774194,0.163639946640796,0.748028673835125
2019-09,86.00,23.84,64.80,7.69,0.0335917312661499,0.568666666666666,0.105733082706767,0.742962962962963
2019-10,85.00,24.87,63.94,6.57,0.0322997416020672,0.773548387096776,0.0651073247635219,0.618637992831541
2019-11,96.00,24.20,74.40,5.39,0.0465116279069768,0.639333333333334,0.556860902255639,0.487407407407407
2019-12,135.00,23.74,82.90,3.85,0.0968992248062016,0.547741935483872,0.956448581130245,0.316129032258065
2020-01,248.00,23.98,81.29,3.55,0.242894056847545,0.595483870967742,0.880654256609265,0.283512544802867
2020-02,330.00,23.62,83.69,2.69,0.348837209302326,0.524827586206898,0.993404848327716,0.188122605363985
2020-03,479.00,24.05,81.13,4.05,0.541343669250646,0.609677419354839,0.873074824157167,0.338709677419355
2020-04,409.00,23.98,82.07,5.04,0.450904392764858,0.596666666666668,0.917136591478697,0.449259259259259
2020-05,365.00,24.04,81.74,4.41,0.39405684754522,0.607096774193548,0.901876667475139,0.37921146953405
2020-06,335.00,23.84,76.20,6.12,0.355297157622739,0.567333333333332,0.641447368421053,0.568518518518519
2020-07,209.00,23.06,73.55,6.37,0.19250645994832,0.412903225806453,0.516841498908562,0.597132616487455
2020-08,107.00,23.84,73.06,6.49,0.0607235142118863,0.567741935483871,0.494103201552268,0.609677419354839
2020-09,77.00,24.26,68.76,6.79,0.0219638242894057,0.652,0.292044449358691,0.643137254901961
2020-10,60.00,23.81,77.94,4.63,0,0.562580645161291,0.723002061605627,0.403584229390681
2020-11,74.00,24.00,77.43,4.67,0.0180878552971576,0.600666666666667,0.699404761904762,0.407777777777778
2020-12,97.00,23.79,77.32,3.83,0.0478036175710594,0.558709677419355,0.694200218287655,0.314695340501792
2021-01,177.00,23.32,80.10,3.11,0.151162790697674,0.463870967741936,0.82456645646374,0.23405017921147
2021-02,152.00,23.48,80.18,3.90,0.118863049095607,0.495000000000001,0.828410311493018,0.322619047619048
2021-03,167.00,23.65,80.29,4.72,0.138242894056848,0.529032258064515,0.833661775406258,0.41326164874552
2021-04,194.00,23.72,77.37,5.86,0.17312661498708,0.544000000000001,0.696271929824561,0.54037037037037
2021-05,311.00,24.09,79.26,5.74,0.324289405684754,0.61741935483871,0.785153407712831,0.52652329749104
2021-06,273.00,23.49,80.33,5.06,0.275193798449612,0.497333333333334,0.835682957393484,0.451481481481482
2021-07,242.00,23.14,72.94,7.24,0.235142118863049,0.428387096774194,0.48803965559059,0.692831541218638
2021-08,366.00,23.48,73.23,6.28,0.395348837209302,0.496774193548388,0.501682634004365,0.587096774193548
2021-09,347.00,23.84,74.70,5.22,0.370801033591731,0.568666666666666,0.570958646616542,0.468888888888889
2021-10,344.00,23.95,78.61,4.65,0.366925064599483,0.589032258064517,0.754835677904438,0.405017921146953
2021-11,475.00,23.43,82.93,3.40,0.536175710594315,0.486666666666667,0.957863408521303,0.266666666666667
2021-12,695.00,23.76,83.13,4.10,0.820413436692506,0.55225806451613,0.967059786563182,0.344802867383513
